MatchID,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,GoalDifferential,HomePenaltySum,AwayPenaltySum,HomeTeamPlayers,RoadTeamPlayers,Period,Time_Of_Penalty,minutes,seconds,RegularSeason
2014020056,8,21,1,1,2,2,-1,NULL,NULL,5,5,2,0:09:02,29,2,1
2014020055,19,18,1,1,2,2,0,NULL,NULL,5,5,2,0:09:45,29,45,1
2014020053,2,13,1,1,2,2,-1,NULL,NULL,5,5,2,0:12:12,32,12,1
2014020049,32,6,1,1,2,2,2,NULL,NULL,5,5,3,0:01:55,41,55,1
2014020045,17,16,1,1,2,2,0,NULL,NULL,5,5,3,0:10:17,50,17,1
2014020037,21,27,1,1,2,2,-1,NULL,NULL,5,5,3,0:10:03,50,3,1
2014020036,8,10,1,1,2,2,-3,NULL,NULL,5,5,3,0:10:59,50,59,1
2014020034,19,5,1,1,2,2,3,NULL,NULL,5,5,2,0:19:55,39,55,1
2014020032,26,5,1,1,2,2,3,NULL,NULL,5,4,3,0:14:33,54,33,1
2014020030,32,19,1,1,2,2,-1,NULL,NULL,4,4,1,0:11:07,11,7,1
2014020030,32,19,1,1,2,2,-1,NULL,NULL,5,5,2,0:04:42,24,42,1
2014020030,32,19,1,1,2,2,1,NULL,NULL,5,5,4,0:04:46,64,46,1
2014020029,11,20,1,1,2,2,-1,NULL,NULL,4,5,2,0:07:39,27,39,1
2014020029,11,20,1,1,2,2,-2,NULL,NULL,5,5,3,0:12:20,52,20,1
2014020027,17,22,1,1,2,2,1,NULL,NULL,5,5,3,0:09:41,49,41,1
2014020026,18,16,1,1,2,2,4,NULL,NULL,5,5,2,0:10:14,30,14,1
2014020025,30,23,1,1,2,2,2,NULL,NULL,5,4,3,0:06:17,46,17,1
2014020024,7,2,1,1,2,2,2,NULL,NULL,5,5,1,0:15:28,15,28,1
2014020023,28,29,1,1,2,2,0,NULL,NULL,5,4,2,0:03:39,23,39,1
2014020022,21,14,1,1,2,2,-4,NULL,NULL,5,5,3,0:15:33,55,33,1
2014020021,12,27,1,1,2,2,1,NULL,NULL,5,5,2,0:15:18,35,18,1
2014020020,9,10,1,1,2,2,0,NULL,NULL,5,5,2,0:18:28,38,28,1
2014020019,1,15,1,1,2,2,-3,NULL,NULL,5,5,2,0:01:48,21,48,1
2014020018,13,3,1,1,2,2,-2,NULL,NULL,5,5,2,0:03:38,23,38,1
2014020016,32,5,1,1,2,2,0,NULL,NULL,4,5,1,0:02:58,2,58,1
2014020016,32,5,1,1,2,2,-2,NULL,NULL,5,5,1,0:11:29,11,29,1
2014020016,32,5,1,1,2,2,-3,NULL,NULL,5,5,1,0:14:37,14,37,1
2014020014,20,11,1,1,2,2,2,NULL,NULL,5,5,2,0:06:56,26,56,1
