Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
2014-2015,"Regular Season",8469476,"Tim Gleason",0.323466288,522,1,461,4,419,5,456,-8,703,22,514,80,47,46,76,9,362,3,550,100,568,3631,154,28,89,29796,288
2014-2015,"Regular Season",8475180,"Peter Holland",1.39584425,360,8,116,7,250,15,197,0,315,46,277,51,153,13,384,13,250,36,3,1739,336,4245,91,16,223,29787,289
2014-2015,"Regular Season",8470617,"Mike Richards",0.827119686,443,4,251,8,225,12,251,-5,628,42,312,37,273,6,589,27,37,15,143,3463,236,1865,299,37,43,29784,290
2014-2015,"Regular Season",8476381,"Andrew Shaw",5.478908059,90,5,237,5,341,10,305,-4,592,54,229,60,100,15,325,6,472,6,439,5645,101,160,527,28,93,29759,291
2014-2015,"Regular Season",8475745,"Charlie Coyle",0.382174024,508,3,352,11,164,14,208,-2,492,58,205,68,77,26,193,8,404,7,398,3315,243,74,570,22,161,29738,292
2014-2015,"Regular Season",8475758,"Devante Smith-Pelly",2.583513241,248,4,285,9,203,13,231,4,158,53,235,84,40,24,211,14,215,12,237,2852,271,2586,250,6,505,29694,293
2014-2015,"Regular Season",8474727,"Ben Smith",2.954118402,212,5,231,3,449,8,365,3,199,44,292,29,361,36,123,5,494,10,310,537,431,5514,34,2,620,29639,294
2014-2015,"Regular Season",8475750,"Jon Merrill",1.586152999,333,2,421,5,368,7,389,-11,744,20,536,22,456,31,163,11,303,7,395,2687,281,3553,166,10,381,29620,295
2014-2015,"Regular Season",8475199,"Eric Gelinas",2.029891278,289,4,279,6,305,10,301,2,236,63,169,43,212,18,283,11,309,7,396,4140,184,240,503,20,184,29554,296
2014-2015,"Regular Season",8476459,"Mika Zibanejad",3.728846584,162,9,89,7,247,16,182,1,266,59,197,54,130,13,381,11,316,13,218,4757,148,1051,375,4,571,29548,297
2014-2015,"Regular Season",8476458,"Ryan Strome",-0.025922785,636,6,195,15,74,21,96,12,27,74,107,32,322,8,526,15,201,14,181,4425,168,1447,339,24,131,29544,298
2014-2015,"Regular Season",8475169,"Evander Kane",2.641500787,240,6,187,7,257,13,235,1,269,81,84,84,39,10,453,11,320,14,186,3599,230,2474,256,46,22,29355,299
2014-2015,"Regular Season",8471716,"Justin Abdelkader",4.44915502,129,7,134,9,195,16,177,6,96,59,195,67,79,15,324,15,195,5,461,4292,175,2375,263,22,154,29342,300
2014-2015,"Regular Season",8474584,"Michael Del Zotto",1.182169595,389,2,413,6,312,8,347,-6,657,33,399,50,165,41,106,11,298,3,545,2725,280,1721,312,10,396,29340,301
2014-2015,"Regular Season",8474151,"Ryan McDonagh",0.490830506,493,2,407,8,235,10,289,10,45,44,288,13,554,34,142,21,82,11,259,3600,229,3512,170,10,382,29283,302
2014-2015,"Regular Season",8473485,"Chris Stewart",1.176353463,392,4,265,3,452,7,399,-13,755,69,136,39,254,7,557,20,103,8,355,3302,245,22,630,32,75,29279,303
2014-2015,"Regular Season",8474569,"Colin Wilson",3.033040898,205,8,110,8,218,16,179,11,36,70,123,24,424,10,473,6,479,12,250,4309,173,65,582,10,415,29242,304
2014-2015,"Regular Season",8470755,"Brad Richardson",3.052586944,200,8,101,9,191,17,159,-5,624,52,246,40,241,13,389,2,627,9,345,263,487,3962,112,24,126,29239,305
2014-2015,"Regular Season",8470775,"Nate Thompson",3.889396519,157,3,316,4,407,7,394,-5,634,42,313,89,30,29,165,11,304,14,185,476,445,3641,148,27,97,29125,306
2014-2015,"Regular Season",8471698,"T.J. Oshie",2.633990751,241,5,218,7,264,12,260,0,320,56,216,30,345,14,363,9,379,16,138,3901,200,2104,278,13,305,29114,307
2014-2015,"Regular Season",8475174,"Jared Cowen",-0.753324613,754,2,416,5,367,7,388,-6,659,20,533,76,58,33,143,13,239,7,392,138,539,3012,209,21,166,29089,308
2014-2015,"Regular Season",8469469,"R.J. Umberger",0.043600661,602,3,306,4,406,7,393,-9,715,37,365,38,266,26,198,5,498,5,480,2154,308,3055,204,13,303,29041,309
